StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Group,Actor.id,A_L_1,A_L_2,A_L_3,A_L_4,B_L_1,B_L_2,B_L_3,B_L_4,C_L_1,C_L_2,C_L_3,C_L_4,D_L_1,D_L_2,D_L_3,D_L_4,A_I_1,A_I_2,A_I_3,B_I_1,B_I_2,B_I_3,C_I_1,C_I_2,C_I_3,D_I_1,D_I_2,D_I_3,A_S_1,A_S_2,A_S_3,B_S_1,B_S_2,B_S_3,C_S_1,C_S_2,C_S_3,D_S_1,D_S_2,D_S_3,A_H_1,A_H_2,A_H_3,B_H_1,B_H_2,B_H_3,C_H_1,C_H_2,C_H_3,D_H_1,D_H_2,D_H_3,Gender,Age_1
2018-02-06 05:15:27,2018-02-07 07:15:41,0,132.64.201.76,100,93613,1,2018-02-07 07:15:41,R_22W7BohuAbvDR2Y,,,,,31.779998779297,35.229995727539,anonymous,HE,805,1,,,,,3,3,2,2,8,7,8,7,7,5,7,7,,,,2,1,1,9,9,9,5,5,9,,,,10,2,2,10,7,8,10,8,10,,,,4,2,1,11,11,11,10,10,10,1,41
2018-02-08 01:30:55,2018-02-08 01:37:05,0,176.12.140.191,100,370,1,2018-02-08 01:37:06,R_bOSONCUZRbMS8PT,,,,,31.5,34.75,qr,HE,308,2,9,7,9,9,,,,,4,4,3,9,9,9,9,11,8,6,11,,,,2,1,9,9,7,6,6,5,6,,,,9,9,6,9,6,8,11,8,9,,,,11,11,8,11,11,9,2,41
2018-02-08 01:33:18,2018-02-08 01:37:24,0,176.12.199.2,100,246,1,2018-02-08 01:37:24,R_33vfodIJ6HaGo8w,,,,,31.5,34.75,anonymous,HE,308,3,5,3,6,4,6,4,7,4,,,,,8,7,8,7,3,4,4,5,4,4,,,,9,9,9,8,8,8,7,6,7,,,,8,10,9,5,7,7,6,6,6,,,,9,9,10,2,37
2018-02-08 01:31:06,2018-02-08 01:38:10,0,2.53.146.23,100,423,1,2018-02-08 01:38:11,R_2X54jPZrXEZLcDK,,,,,31.5,34.75,anonymous,HE,308,4,4,3,4,4,6,5,8,7,6,6,6,6,,,,,3,2,2,5,5,7,8,9,8,,,,5,4,4,7,9,5,8,11,8,,,,6,4,4,7,7,7,9,8,8,,,,1,29
2018-02-08 01:30:38,2018-02-08 01:39:43,0,2.53.35.38,100,544,1,2018-02-08 01:39:44,R_3n60re8Fa6T0A0N,,,,,31.5,34.75,qr,HE,308,1,,,,,9,10,10,9,9,9,9,9,10,10,10,10,,,,10,11,11,7,10,10,11,11,11,,,,11,11,8,10,9,9,11,9,11,,,,11,11,11,10,11,11,11,11,11,2,44
2018-02-01 06:52:23,2018-02-01 06:59:50,0,132.64.205.143,14,447,0,2018-02-08 07:00:02,R_2ZCdpGsnUCEnFgq,,,,,,,anonymous,HE,400,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-11 02:48:53,2018-02-11 02:53:46,0,192.114.91.244,100,293,1,2018-02-11 02:53:47,R_1jAIaPyWQfKwaCB,,,,,31.779998779297,35.229995727539,anonymous,HE,602,4,7,7,6,4,8,7,4,4,8,9,9,9,,,,,6,5,6,7,6,6,10,11,11,,,,10,8,8,10,8,9,10,10,11,,,,8,8,8,8,8,8,10,8,6,,,,1,42
2018-02-11 02:47:18,2018-02-11 02:54:02,0,132.64.201.138,100,403,1,2018-02-11 02:54:02,R_3FUlWvsKCjgXZQ8,,,,,31.779998779297,35.229995727539,anonymous,HE,602,1,,,,,9,8,9,10,4,4,4,4,2,1,2,4,,,,8,9,10,6,5,5,3,2,3,,,,7,5,7,9,7,9,10,9,8,,,,10,9,7,10,10,10,8,4,4,1,45
2018-02-11 02:47:15,2018-02-11 02:57:48,0,185.32.176.86,100,632,1,2018-02-11 02:57:48,R_sRyxPv6P1Hwdi4F,,,,,31.5,34.75,anonymous,HE,602,2,10,10,10,9,,,,,8,6,6,8,5,4,7,5,10,10,10,,,,6,5,7,5,6,7,8,8,8,,,,8,8,9,8,9,6,10,10,10,,,,7,8,6,6,9,6,1,47
2018-02-11 02:48:25,2018-02-11 02:58:23,0,132.64.201.110,100,597,1,2018-02-11 02:58:24,R_Uotk1h6BB1rAlZn,,,,,31.779998779297,35.229995727539,anonymous,HE,602,3,9,9,9,8,10,9,9,9,,,,,9,9,7,8,11,11,11,11,11,11,,,,11,11,11,10,11,10,10,9,10,,,,11,11,10,11,10,10,11,11,9,,,,11,10,10,1,48
2018-02-11 02:52:06,2018-02-11 02:58:45,0,132.64.201.97,100,399,1,2018-02-11 02:58:45,R_3fdAw6Ynb9zsiGx,,,,,31.779998779297,35.229995727539,anonymous,HE,804,3,9,4,9,4,9,4,9,3,,,,,4,2,2,2,10,10,10,10,10,10,,,,1,1,1,11,11,11,11,11,11,,,,6,6,6,11,11,6,11,11,6,,,,6,6,1,1,17
2018-02-11 04:46:19,2018-02-11 04:50:26,0,132.64.201.178,100,247,1,2018-02-11 04:50:27,R_BslZBMHndvFjJfP,,,,,31.779998779297,35.229995727539,anonymous,HE,804,4,7,7,4,7,4,5,5,4,,,,,,,,,9,6,6,6,6,6,8,6,6,,,,11,11,10,11,11,11,11,11,9,,,,9,9,9,9,9,9,9,9,9,,,,1,36
2018-02-12 04:53:11,2018-02-12 04:58:57,0,37.26.147.184,100,346,1,2018-02-12 04:58:57,R_3PRmnLlNBwUlLgb,,,,,31.5,34.75,qr,HE,310,4,6,7,8,9,5,5,4,8,6,7,9,7,,,,,8,9,8,6,5,6,9,10,8,,,,8,9,8,8,8,8,10,8,9,,,,8,9,9,8,8,7,9,10,10,,,,1,54
2018-02-12 04:52:18,2018-02-12 04:59:48,0,46.19.85.244,100,449,1,2018-02-12 04:59:49,R_1Du1flfVJUv6Dyx,,,,,32.066696166992,34.766693115234,qr,HE,310,3,9,10,10,10,7,4,4,6,,,,,8,8,8,9,10,11,11,7,10,11,,,,11,11,11,11,10,8,8,11,11,,,,11,11,11,11,11,11,11,11,9,,,,11,11,8,1,35
2018-02-12 05:00:26,2018-02-12 05:05:02,0,192.114.91.245,100,275,1,2018-02-12 05:05:02,R_ykHWwuRN7jRPe2l,,,,,31.779998779297,35.229995727539,anonymous,HE,310,1,,,,,9,9,9,9,10,10,10,10,8,8,9,9,,,,9,8,6,11,11,11,7,6,9,,,,11,11,11,11,11,11,11,9,9,,,,10,11,11,11,11,11,10,11,11,1,38
2018-02-12 05:04:13,2018-02-12 05:10:26,0,141.226.217.139,100,372,1,2018-02-12 05:10:26,R_ZfqZrxHNhudEd6F,,,,,32.080596923828,34.814193725586,anonymous,HE,604,3,9,8,8,4,9,6,4,4,,,,,9,8,9,9,4,4,7,7,4,7,,,,8,8,9,9,9,9,10,9,11,,,,9,9,10,8,5,4,9,6,4,,,,9,4,4,2,7
2018-02-12 05:09:03,2018-02-12 05:13:52,0,141.226.217.139,100,288,1,2018-02-12 05:13:52,R_1Ioz3aY1TB2P7IW,,,,,32.080596923828,34.814193725586,anonymous,HE,604,1,,,,,9,7,9,9,4,4,4,4,8,7,8,8,,,,5,5,9,2,1,2,10,10,10,,,,11,9,10,6,3,4,11,11,11,,,,11,11,9,9,7,3,11,8,10,1,31
2018-02-12 05:06:32,2018-02-12 05:15:02,0,141.226.217.139,100,509,1,2018-02-12 05:15:03,R_3Q95fNJr9sqPbc5,,,,,32.080596923828,34.814193725586,anonymous,HE,604,2,5,5,6,4,,,,,6,7,4,4,10,10,10,11,4,9,10,,,,2,2,2,11,11,11,8,10,9,,,,8,10,9,11,11,11,10,9,8,,,,9,9,4,11,11,11,1,56
2018-02-12 05:19:21,2018-02-12 05:28:37,0,192.114.91.244,100,555,1,2018-02-12 05:28:38,R_sRnLpitu3d36qwp,,,,,31.779998779297,35.229995727539,anonymous,HE,310,2,4,4,4,5,,,,,6,6,6,5,5,4,4,5,7,7,7,,,,7,7,10,6,5,9,8,6,8,,,,8,8,8,8,8,8,9,11,9,,,,10,11,10,9,11,9,1,19
2018-02-12 05:35:06,2018-02-12 05:39:29,0,141.226.217.139,100,263,1,2018-02-12 05:39:30,R_BM9WexgEHkQwpTH,,,,,32.080596923828,34.814193725586,anonymous,HE,604,4,11,11,11,11,11,11,11,11,11,10,11,11,,,,,9,9,9,11,11,11,8,8,8,,,,11,11,11,11,11,11,11,11,11,,,,11,11,11,11,11,11,11,11,11,,,,1,31
2018-02-12 08:26:02,2018-02-12 08:36:09,0,176.13.227.194,100,606,1,2018-02-12 08:36:10,R_1dsiPwxw7sG3Ddo,,,,,31.5,34.75,anonymous,HE,870,2,8,9,10,11,,,,,10,9,10,10,7,5,8,8,9,9,7,,,,10,9,11,7,6,6,9,10,9,,,,11,10,8,8,8,9,11,9,11,,,,11,11,11,11,11,10,1,59
2018-02-12 08:28:22,2018-02-12 08:37:36,0,46.19.86.254,100,553,1,2018-02-12 08:37:36,R_rkggaMAwfTA3IQh,,,,,31.964202880859,34.804397583008,anonymous,HE,870,3,3,2,2,2,6,7,5,10,,,,,7,9,7,6,4,4,4,8,6,9,,,,8,6,7,4,7,5,10,10,11,,,,7,8,7,5,5,5,11,11,11,,,,9,9,7,1,58
2018-02-12 08:30:41,2018-02-12 08:39:18,0,37.142.164.36,100,516,1,2018-02-12 08:39:19,R_29hooY880fISTLb,,,,,31.5,34.75,qr,HE,870,1,,,,,11,9,8,8,10,8,7,10,6,8,9,5,,,,8,8,9,8,9,11,9,8,11,,,,9,11,10,9,11,9,8,9,8,,,,10,11,11,9,9,9,8,8,7,2,56
2018-02-13 05:38:06,2018-02-13 05:44:30,0,164.138.121.176,100,383,1,2018-02-13 05:44:30,R_xGi3pOEDhftZnWN,,,,,31.779998779297,35.229995727539,anonymous,HE,731,1,,,,,6,5,5,6,9,8,9,6,4,6,5,5,,,,7,5,7,8,8,10,9,9,11,,,,10,10,8,10,10,9,9,9,6,,,,7,9,8,9,9,9,11,11,10,2,32
2018-02-14 02:48:34,2018-02-14 02:55:30,0,176.12.148.213,100,415,1,2018-02-14 02:55:30,R_3lDGk8cIHGHcr7v,,,,,31.5,34.75,qr,HE,801,4,4,3,4,4,5,5,6,4,5,5,4,5,,,,,5,6,7,5,7,8,6,7,7,,,,6,5,6,6,5,6,6,8,7,,,,7,7,7,6,6,7,7,8,7,,,,2,35
2018-02-14 05:37:20,2018-02-14 05:43:30,0,81.218.55.253,100,370,1,2018-02-14 05:43:31,R_2czloKKX5qG2LMt,,,,,32.066696166992,34.766693115234,anonymous,HE,731,3,9,9,9,10,2,1,1,2,,,,,4,3,3,3,8,9,7,1,1,1,,,,2,1,6,8,10,6,4,2,2,,,,6,2,1,10,11,11,2,1,1,,,,7,8,6,2,33
2018-02-14 06:46:15,2018-02-14 06:56:01,0,81.218.55.253,100,586,1,2018-02-14 06:56:02,R_3jfhwrDNNMtrNqR,,,,,32.066696166992,34.766693115234,anonymous,HE,731,4,6,6,6,6,5,5,7,5,3,4,4,6,,,,,7,6,8,4,5,2,3,3,4,,,,10,9,9,9,8,9,11,9,9,,,,7,7,7,5,5,5,6,6,6,,,,2,34
2018-02-14 06:49:43,2018-02-14 06:57:46,0,81.218.55.253,100,482,1,2018-02-14 06:57:46,R_3Hp5Z2W5uwJpuH2,,,,,32.066696166992,34.766693115234,anonymous,HE,731,2,6,4,6,4,,,,,3,3,3,3,5,4,5,4,1,8,8,,,,1,5,7,1,5,6,11,9,9,,,,11,8,8,10,8,6,9,9,9,,,,9,9,9,7,7,7,2,30
2018-02-15 04:02:04,2018-02-15 04:27:27,0,2.53.147.212,100,1522,1,2018-02-15 04:27:27,R_1OCBMoPUUwDL6lh,,,,,32.066696166992,34.766693115234,anonymous,HE,280,3,5,2,4,3,5,4,7,7,,,,,7,7,5,8,1,2,6,4,1,2,,,,3,1,7,8,8,1,4,3,2,,,,8,9,4,10,11,7,5,8,2,,,,11,9,6,2,59
2018-02-15 04:19:20,2018-02-15 04:28:50,0,176.12.211.135,100,570,1,2018-02-15 04:28:51,R_zVwW5jWCxBPgpb3,,,,,31.5,34.75,anonymous,HE,280,2,5,5,5,5,,,,,6,6,6,6,5,5,5,5,1,1,11,,,,1,3,11,1,3,6,9,11,8,,,,11,11,8,6,9,8,11,11,11,,,,11,11,11,9,9,8,2,59
2018-02-15 04:23:27,2018-02-15 04:32:15,0,2.53.180.212,100,528,1,2018-02-15 04:32:16,R_1g0jqko43fRAuOf,,,,,32.147201538086,34.841705322266,anonymous,HE,280,4,3,3,3,4,5,3,4,4,6,5,5,5,,,,,5,5,6,4,4,4,7,7,8,,,,6,8,7,3,5,4,9,8,9,,,,7,8,6,6,7,8,8,8,8,,,,2,57
2018-02-15 04:16:48,2018-02-15 04:37:16,0,2.53.155.77,100,1228,1,2018-02-15 04:37:16,R_3fZbGrAyM1rkmiD,,,,,31.5,34.75,qr,HE,280,1,,,,,4,3,4,4,7,6,9,9,6,6,6,4,,,,1,4,4,2,5,7,1,6,6,,,,5,4,5,11,11,9,11,11,6,,,,7,11,6,10,10,6,9,11,6,2,57
2018-02-18 05:03:43,2018-02-18 05:07:56,0,62.219.133.75,100,253,1,2018-02-18 05:07:57,R_1Un82mjomwzmXLj,,,,,31.779998779297,35.229995727539,anonymous,HE,285,1,,,,,10,10,6,11,7,4,9,9,6,5,4,4,,,,10,11,11,6,11,11,7,8,11,,,,5,4,5,11,8,11,8,7,9,,,,11,11,11,11,11,11,11,11,11,1,53
2018-02-18 05:04:03,2018-02-18 05:08:23,0,62.219.133.75,100,260,1,2018-02-18 05:08:24,R_2TUnbfnTaqHkizx,,,,,31.779998779297,35.229995727539,qr,HE,285,3,4,4,4,6,4,4,4,6,,,,,10,8,10,10,4,3,9,4,4,9,,,,9,9,9,9,5,5,7,7,7,,,,8,9,9,9,9,9,9,9,9,,,,9,9,9,2,53
2018-02-18 05:04:08,2018-02-18 05:09:09,0,2.53.169.73,100,300,1,2018-02-18 05:09:10,R_1QJwkMaITH6PfAY,,,,,31.5,34.75,anonymous,HE,285,4,3,3,3,4,4,4,4,4,4,4,4,4,,,,,7,8,5,9,9,11,8,5,7,,,,6,4,3,9,8,9,10,9,9,,,,6,9,5,9,9,9,9,9,9,,,,2,52
2018-02-18 05:06:40,2018-02-18 05:10:29,0,2.55.9.228,100,229,1,2018-02-18 05:10:30,R_2EmFAqYGiyImSC4,,,,,32.001403808594,34.830307006836,qr,HE,285,2,7,8,9,9,,,,,6,5,7,6,6,4,7,8,9,11,10,,,,7,6,7,9,8,9,11,9,10,,,,11,11,11,9,8,8,11,10,9,,,,9,9,9,9,10,8,2,52
2018-02-20 03:14:13,2018-02-20 03:17:19,0,213.8.21.239,100,185,1,2018-02-20 03:17:19,R_3HnODKUW1KWfthT,,,,,31.5,34.75,anonymous,HE,315,4,11,11,11,11,11,11,11,11,9,9,9,9,,,,,11,11,11,11,11,11,8,8,8,,,,11,11,11,11,11,11,11,11,11,,,,11,11,11,11,11,11,10,10,10,,,,1,52
2018-02-20 03:14:40,2018-02-20 03:17:27,0,213.8.21.239,100,166,1,2018-02-20 03:17:28,R_Az0DeLhPGmuHiyl,,,,,31.5,34.75,anonymous,HE,315,3,3,2,1,2,11,11,11,11,,,,,10,10,10,10,1,1,1,11,11,11,,,,11,11,11,1,1,4,11,11,11,,,,11,11,9,1,4,2,11,11,11,,,,11,11,11,1,39
2018-02-20 03:13:28,2018-02-20 03:18:08,0,213.8.21.239,100,280,1,2018-02-20 03:18:09,R_1ohTr08yY5FV0qd,,,,,31.5,34.75,anonymous,HE,315,1,,,,,9,9,8,8,3,3,2,4,9,9,9,9,,,,9,9,9,3,2,3,8,8,8,,,,9,9,9,8,6,6,9,9,9,,,,9,9,9,3,3,4,9,9,9,1,37
2018-02-20 03:13:27,2018-02-20 03:22:24,0,213.8.21.239,100,536,1,2018-02-20 03:22:24,R_25AhpvvK4ND2GSh,,,,,31.5,34.75,anonymous,HE,315,2,8,8,6,7,,,,,7,5,6,6,10,10,10,10,9,7,11,,,,6,8,6,11,11,11,11,11,11,,,,11,11,11,11,11,11,11,11,11,,,,9,9,9,11,11,11,1,32
2018-02-20 03:10:45,2018-02-20 03:10:50,0,2.53.160.126,5,4,0,2018-02-27 03:10:51,R_Q4b1SsQTzy9wyWZ,,,,,,,anonymous,HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-28 01:58:09,2018-02-28 02:01:49,0,31.154.161.124,100,220,1,2018-02-28 02:01:50,R_Y9sSQ1wSaoWKJZT,,,,,32.792205810547,35.531204223633,anonymous,HE,801,2,6,6,6,8,,,,,9,8,8,10,4,5,6,8,8,8,9,,,,8,9,9,6,8,8,9,7,7,,,,6,6,8,9,9,7,9,9,8,,,,9,9,8,9,9,8,2,49
2018-02-25 09:03:04,2018-02-25 09:03:42,0,176.13.2.119,14,38,0,2018-03-04 09:04:02,R_5jcdcaEHy5CF1g5,,,,,,,anonymous,HE,870,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-07 10:39:40,2018-03-07 10:40:29,0,46.120.22.60,5,49,0,2018-03-14 11:40:31,R_2TRUNl3nY1Fjhwx,,,,,,,anonymous,HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
